GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo/config,it.unipd.dstack.butterfly.config,EnvironmentConfigManager,0,6,0,0,0,3,0,2,0,2
JaCoCo/config,it.unipd.dstack.butterfly.config,ConfigManager,55,0,0,0,12,0,11,0,11,0
JaCoCo/config,it.unipd.dstack.butterfly.config,KafkaPropertiesFactory,94,0,0,0,27,0,2,0,2,0
JaCoCo/config,it.unipd.dstack.butterfly.config,AbstractConfigManager,51,41,3,1,11,11,8,6,6,6
JaCoCo/config,it.unipd.dstack.butterfly.config.exception,ConfigurationCastException,24,0,0,0,3,0,2,0,2,0
JaCoCo/config,it.unipd.dstack.butterfly.config.exception,ConfigurationUndefinedException,14,0,0,0,3,0,2,0,2,0
JaCoCo/config,it.unipd.dstack.butterfly.config.exception,ConfigurationException,4,0,0,0,2,0,1,0,1,0
JaCoCo/avro-schemas,it.unipd.dstack.butterfly.consumer.avro,EmailWithContactRef.Builder,232,0,12,0,42,0,18,0,12,0
JaCoCo/avro-schemas,it.unipd.dstack.butterfly.consumer.avro,EventWithUserContact.Builder,354,0,32,0,74,0,34,0,18,0
JaCoCo/avro-schemas,it.unipd.dstack.butterfly.consumer.avro,UserSingleContact.Builder,440,0,24,0,74,0,32,0,20,0
JaCoCo/avro-schemas,it.unipd.dstack.butterfly.producer.avro,Event.Builder,1174,0,66,0,185,0,81,0,48,0
JaCoCo/producer,it.unipd.dstack.butterfly.producer.producer,ProducerImpl,99,0,0,0,33,0,8,0,8,0
JaCoCo/producer,it.unipd.dstack.butterfly.producer.producer,OnWebhookEventFromTopicImpl,17,0,0,0,4,0,3,0,3,0
JaCoCo/producer,it.unipd.dstack.butterfly.producer.producer,KafkaProducerProperties,96,0,0,0,26,0,1,0,1,0
JaCoCo/producer,it.unipd.dstack.butterfly.producer.WebhookHandler,WebhookHandler,56,0,3,0,20,0,8,0,6,0
JaCoCo/producer,it.unipd.dstack.butterfly.producer.WebhookHandler,WebhookHandler.HTTP_METHOD,24,0,0,0,3,0,1,0,1,0
JaCoCo/producer,it.unipd.dstack.butterfly.producer.WebhookHandler,WebhookHandler.Builder,53,0,2,0,15,0,8,0,7,0
JaCoCo/producer,it.unipd.dstack.butterfly.producer.webhookhandler,WebhookHandler,57,0,3,0,21,0,8,0,6,0
JaCoCo/producer,it.unipd.dstack.butterfly.producer.webhookhandler,WebhookHandler.HTTPMethod,24,0,0,0,3,0,1,0,1,0
JaCoCo/producer,it.unipd.dstack.butterfly.producer.webhookhandler,WebhookHandler.Builder,53,0,2,0,16,0,8,0,7,0
JaCoCo/producer,it.unipd.dstack.butterfly.producer.utils,ProducerUtils,39,0,2,0,13,0,5,0,4,0
JaCoCo/producer,it.unipd.dstack.butterfly.producer.helpers,Util,12,0,0,0,5,0,2,0,2,0
JaCoCo/producer,it.unipd.dstack.butterfly.producer.producer.controller,ProducerController.ProducerOnWebhookEvent,31,0,0,0,6,0,2,0,2,0
JaCoCo/producer,it.unipd.dstack.butterfly.producer.producer.controller,ProducerController,102,0,0,0,29,0,5,0,5,0
JaCoCo/controller,it.unipd.dstack.butterfly.controller,Controller,10,0,0,0,4,0,1,0,1,0
JaCoCo/controller,it.unipd.dstack.butterfly.controller.record,Record,0,15,0,0,0,6,0,3,0,3
